Id,Values_Code,Values_Name,Values_Type,Values_Disp,Values_RecType,Values_CompanyCode,Values_EnerSource,Values_OperStartdate,Values_State,Date
Sistema,3CKQ,AGPE LA VALLENATA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2021-10-30,PRUEBAS,2022-07-30
Sistema,3CL1,AGPE 125 GT CARRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2021-09-30,PRUEBAS,2022-07-30
Sistema,3CN1,AGPE JUAN CARLOS DIAZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-10-01,PRUEBAS,2022-07-30
Sistema,3CPK,AGPE OLIMPICA PIVIJAY,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2021-10-31,PRUEBAS,2022-07-30
Sistema,3CSF,AGPE SULFOQUIMICAS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-10-29,PRUEBAS,2022-07-30
Sistema,3CSH,PETALO DE CORDOBA I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,GNYG,RAD SOLAR,2021-10-31,PRUEBAS,2022-07-30
Sistema,3CUW,AGPE PEDRO LEMUS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-11-11,OPERACION,2022-07-30
Sistema,3D6C,AGPE LICORES DE CUNDINAMARCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2021-12-02,OPERACION,2022-07-30
Sistema,3D8B,AGPE INVERSIONES GLP,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2021-12-09,OPERACION,2022-07-30
Sistema,3D8D,AGPE BIOEMPACK,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NRCC,RAD SOLAR,2021-12-09,OPERACION,2022-07-30
Sistema,3D8F,AGPE NOVATRONICA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NRCC,RAD SOLAR,2021-12-09,OPERACION,2022-07-30
Sistema,3DBG,AGPE MANUFACTURAS VICO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2021-12-16,OPERACION,2022-07-30
Sistema,3DBI,AGPE ALVARO HOYOS,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-12-16,OPERACION,2022-07-30
Sistema,3DDT,LATAM SOLAR LA LOMA,SOLAR,DESPACHADO CENTRALMENTE,NORMAL,ENDG,RAD SOLAR,2021-12-31,PRUEBAS,2022-07-30
Sistema,3DGL,AGPE ERIKA MEJIA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2021-12-30,OPERACION,2022-07-30
Sistema,3DKZ,AGPE CDL LEONISA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-01-20,OPERACION,2022-07-30
Sistema,3DL2,AGPE SOL BEATRIZ ARANGO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-01-20,OPERACION,2022-07-30
Sistema,3DM3,AGPE ELIANA GARZON,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2022-01-27,OPERACION,2022-07-30
Sistema,3DP6,AGPE GT RED SONORA LOS ANDES,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,DCLC,RAD SOLAR,2022-02-03,OPERACION,2022-07-30
Sistema,3DP8,AGPE IE SALAZAR Y HERRERA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ETTC,RAD SOLAR,2022-02-03,OPERACION,2022-07-30
Sistema,3DPN,AGPE DORICOLOR,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-02-06,OPERACION,2022-07-30
Sistema,3DQA,AGPE AVOFRUIT,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2022-02-10,OPERACION,2022-07-30
Sistema,3DQC,AGPE CLUB CAMPESTRE,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2022-02-10,OPERACION,2022-07-30
Sistema,3DSO,HELIOS I,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ENUG,RAD SOLAR,2022-03-03,OPERACION,2022-07-30
Sistema,3DST,AGPE PCP,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EEPC,RAD SOLAR,2022-02-24,OPERACION,2022-07-30
Sistema,3DXJ,LAS VIOLETAS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,GEN. DISTRIBUIDA,PCYG,AGUA,2022-03-30,OPERACION,2022-07-30
Sistema,3E1W,AGPE RELIANZ GALAPA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,ENDC,RAD SOLAR,2022-03-24,OPERACION,2022-07-30
Sistema,3E2I,AGPE EL HUECO BELLEZA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-03-31,OPERACION,2022-07-30
Sistema,3E5O,AGPE EMPAQUETADURAS DARROW,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,GNCC,RAD SOLAR,2022-04-14,OPERACION,2022-07-30
Sistema,3E6A,AGPE COLOMBIANA DE PET,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-04-21,OPERACION,2022-07-30
Sistema,3E6C,AGPE AURELIO LLANO,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,NEUC,RAD SOLAR,2022-04-21,OPERACION,2022-07-30
Sistema,3E7C,AUTOG CELSIA SOLAR LEVAPAN,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,EPSG,RAD SOLAR,2022-06-11,OPERACION,2022-07-30
Sistema,3E98,AUTOG COLOMBINA DEL CAUCA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,DEPG,RAD SOLAR,2022-04-30,OPERACION,2022-07-30
Sistema,3E9G,AGPE ARISOL,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-05-12,OPERACION,2022-07-30
Sistema,3E9I,ZEUS,HIDRAULICA,NO DESPACHADO CENTRALMENTE,NORMAL,CHZG,AGUA,2022-05-19,OPERACION,2022-07-30
Sistema,3EBN,GR PARQUE SOLAR TUCANES,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,EPSG,RAD SOLAR,2022-05-31,OPERACION,2022-07-30
Sistema,3ED1,AUTOG GRAN COLOMBIA GOLD,HIDRAULICA,NO DESPACHADO CENTRALMENTE,AUTOGENERADOR,PRIG,AGUA,2022-05-31,OPERACION,2022-07-30
Sistema,3EDL,BOSQUES SOLARES DE LOS LLANOS 5,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2022-05-31,PRUEBAS,2022-07-30
Sistema,3EE4,PARQUE EOLICO GUAJIRA I,EOLICA,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,VIENTO,2022-04-30,PRUEBAS,2022-07-30
Sistema,3EFW,AGPE PLANTA BUGA,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,TPLC,RAD SOLAR,2022-06-09,OPERACION,2022-07-30
Sistema,3EFY,BOSQUES SOLARES DE LOS LLANOS 4,SOLAR,NO DESPACHADO CENTRALMENTE,NORMAL,ISGG,RAD SOLAR,2022-05-31,PRUEBAS,2022-07-30
Sistema,3EGG,AGPE ALFREDO MARTINEZ,SOLAR,NO DESPACHADO CENTRALMENTE,AUTOG PEQ. ESCALA,EPSC,RAD SOLAR,2022-06-16,OPERACION,2022-07-30
